LLM,File,Accuracy_Prompt_01,Accuracy_Prompt_02,F1_Prompt_01,F1_Prompt_02,Precision_Prompt_01,Precision_Prompt_02,Recall_Prompt_01,Recall_Prompt_02,Delta_Precision,Delta_Recall,Delta_F1,Delta_Accuracy
chatgpt,script_95.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_96.js,0.75,0.5,0.0,0.5,0.0,0.3333,0.0,1.0,0.3333,1.0,0.5,-0.25
chatgpt,script_97.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_98.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_99.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_01.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_02.js,0.75,0.5,0.8,0.5,1.0,1.0,0.6667,0.3333,0.0,-0.3334,-0.3,-0.25
claude,script_03.js,0.25,0.25,0.4,0.4,0.5,0.5,0.3333,0.3333,0.0,0.0,0.0,0.0
claude,script_04.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_05.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_06.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_07.js,0.75,0.75,0.8571,0.8571,0.75,0.75,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_08.js,0.5,0.5,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0,0.0
claude,script_09.js,0.75,0.25,0.8,0.0,1.0,0.0,0.6667,0.0,-1.0,-0.6667,-0.8,-0.5
claude,script_10.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_100.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_101.js,1.0,0.75,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-0.25
claude,script_102.js,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
claude,script_103.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_104.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_105.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_106.js,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
claude,script_107.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_108.js,0.75,1.0,0.6667,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.3333,0.25
claude,script_109.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_11.js,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,0.0
claude,script_110.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_111.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
claude,script_112.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_113.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_114.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_115.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_116.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_117.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
claude,script_118.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_119.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_12.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_120.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_121.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_122.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_123.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_124.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_125.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_126.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_127.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_128.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_129.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_13.js,0.75,0.5,0.8,0.5,0.6667,0.5,1.0,0.5,-0.1667,-0.5,-0.3,-0.25
claude,script_130.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_131.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_133.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_134.js,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
claude,script_136.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_137.js,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
claude,script_138.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_140.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
claude,script_143.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_144.js,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
claude,script_145.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_146.js,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
claude,script_148.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_149.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_15.js,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,0.0
claude,script_150.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_151.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_152.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_153.js,0.75,0.5,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,-0.25
claude,script_154.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_155.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_156.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_158.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
claude,script_16.js,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_160.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_161.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_162.js,0.5,0.75,0.5,0.0,0.3333,0.0,1.0,0.0,-0.3333,-1.0,-0.5,0.25
claude,script_163.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_165.js,0.5,0.75,0.5,0.0,0.3333,0.0,1.0,0.0,-0.3333,-1.0,-0.5,0.25
claude,script_166.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_167.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_168.js,0.5,0.25,0.5,0.0,0.3333,0.0,1.0,0.0,-0.3333,-1.0,-0.5,-0.25
claude,script_17.js,0.25,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.25
claude,script_170.js,0.5,0.75,0.0,0.6667,0.0,0.5,0.0,1.0,0.5,1.0,0.6667,0.25
claude,script_172.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_173.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_174.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
claude,script_175.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_176.js,1.0,0.75,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-0.25
claude,script_177.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_178.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_180.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_183.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_186.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_188.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_19.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_190.js,0.5,0.25,0.5,0.0,0.3333,0.0,1.0,0.0,-0.3333,-1.0,-0.5,-0.25
claude,script_192.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_194.js,0.5,0.5,0.5,0.0,0.3333,0.0,1.0,0.0,-0.3333,-1.0,-0.5,0.0
claude,script_195.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_196.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_197.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_198.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_20.js,0.5,0.25,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,-0.25
claude,script_201.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_202.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_203.js,0.5,0.75,0.5,0.0,0.3333,0.0,1.0,0.0,-0.3333,-1.0,-0.5,0.25
claude,script_204.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_205.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_206.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_207.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_208.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_209.js,0.5,0.5,0.5,0.0,0.3333,0.0,1.0,0.0,-0.3333,-1.0,-0.5,0.0
claude,script_21.js,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,0.0
claude,script_210.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_212.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_213.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_214.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_215.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_216.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_217.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_218.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_219.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_22.js,0.5,0.25,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,-0.25
claude,script_221.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_223.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_224.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
claude,script_227.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_229.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_23.js,0.25,0.25,0.4,0.4,0.3333,0.3333,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_230.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_231.js,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
claude,script_232.js,0.75,0.5,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,-0.25
claude,script_233.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_234.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_235.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_236.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_237.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_238.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_239.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_24.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_240.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_241.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_242.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_245.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_247.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_248.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_249.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_25.js,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,0.0
claude,script_250.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_251.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
claude,script_252.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_253.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_254.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_255.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_257.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_259.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_26.js,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
claude,script_260.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_262.js,0.5,0.75,0.5,0.6667,0.3333,0.5,1.0,1.0,0.1667,0.0,0.1667,0.25
claude,script_264.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
claude,script_265.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_266.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_267.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_268.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_269.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_27.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_270.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_271.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_272.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_273.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_276.js,0.75,0.5,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,-0.25
claude,script_277.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_278.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
claude,script_279.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_28.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_280.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_281.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_282.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_285.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_286.js,0.5,0.25,0.5,0.4,0.3333,0.25,1.0,1.0,-0.0833,0.0,-0.1,-0.25
claude,script_287.js,0.75,0.5,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,-0.25
claude,script_288.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_289.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_29.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_290.js,0.75,0.5,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,-0.25
claude,script_291.js,0.75,0.5,0.6667,0.5,0.5,0.3333,1.0,1.0,-0.1667,0.0,-0.1667,-0.25
claude,script_292.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_295.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_296.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_30.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_31.js,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,0.0
claude,script_32.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_33.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_34.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_35.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_36.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_37.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_38.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_39.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_40.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_41.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_42.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_45.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_47.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_51.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_52.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_53.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
claude,script_55.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_56.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_59.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_60.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_61.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_62.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_63.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_69.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_70.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_71.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_76.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_77.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_78.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_80.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_82.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_83.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_85.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_89.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_90.js,0.75,0.75,0.8,0.8,0.6667,0.6667,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_92.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_93.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_94.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_95.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_96.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
claude,script_97.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_98.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,script_99.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini,script_01.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gemini,script_02.js,0.75,0.75,0.8,0.8,1.0,1.0,0.6667,0.6667,0.0,0.0,0.0,0.0
gemini,script_03.js,0.5,0.5,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0,0.0
