repositório,url,arquivo,file_exists,clone_error,k6-performance/no-heavy-init-context,k6-performance/no-heavy-init-context_loc,k6-performance/require-check,k6-performance/require-check_loc,k6-performance/require-tags,k6-performance/require-tags_loc,k6-performance/require-thresholds,k6-performance/require-thresholds_loc,smells_presentes,name_vs
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,aulas/aula17.js,yes,,0,,0,,2,14:27; 22:27,0,,c,script_141.json
woocommerce/woocommerce,https://github.com/woocommerce/woocommerce,plugins/woocommerce/tests/performance/setup/cart-checkout-shortcode.js,yes,,0,,0,,2,97:25; 98:29,0,,c,script_142.json
alfarisg34/Tugas-Bootcamp-QA,https://github.com/alfarisg34/Tugas-Bootcamp-QA,12. Learn K6/playground/group.js,yes,,0,,0,,2,6:15; 15:16,0,,c,script_143.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/pages/yves/cart.page.js,yes,,0,,0,,2,16:22; 38:22,0,,c,script_144.json
bcgov/healthgateway,https://github.com/bcgov/healthgateway,Testing/k6/inc/common.js,yes,,0,,0,,2,504:13; 509:17,0,,c,script_145.json
jeffotoni/gusermelicrud,https://github.com/jeffotoni/gusermelicrud,k6/script-post.js,yes,,0,,1,23:1,0,,0,,b,script_146.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6339-aws.js,yes,,0,,0,,0,,1,10:12,d,script_147.json
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/006-thresholds/ai/ai-threshold-01.js,yes,,0,,1,19:1,0,,0,,b,script_148.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find_Projection/postgres.js,yes,,0,,0,,0,,1,9:12,d,script_149.json
umbrellerde/functionfusion,https://github.com/umbrellerde/functionfusion,evalScripts/split/generateConfigurations/k6/6.js,yes,,0,,0,,0,,1,5:14,d,script_150.json
yangahh/concert-ticket-reservation,https://github.com/yangahh/concert-ticket-reservation,docs/k6/get_seats_script_200tps.js,yes,,0,,0,,1,14:19,0,,c,script_151.json
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/006-thresholds/ai/ai-threshold-02.js,yes,,0,,1,6:1,0,,0,,b,script_152.json
tonnarruda/k6_performanceTesting,https://github.com/tonnarruda/k6_performanceTesting,modulo3_conceitos_importantes/aula13.js,yes,,0,,0,,0,,1,4:14,d,script_153.json
ttu/securing-web-api,https://github.com/ttu/securing-web-api,scenarios/scenario_1.js,yes,,0,,0,,0,,1,33:14,d,script_154.json
jsvitorm/ponderadasemana9m9,https://github.com/jsvitorm/ponderadasemana9m9,src/smoke.js,yes,,0,,0,,0,,1,4:12,d,script_155.json
steverzag/result-pattern-exception-handling-demo,https://github.com/steverzag/result-pattern-exception-handling-demo,apitest-v4.create-user.js,yes,,0,,0,,0,,1,4:14,d,script_156.json
Matrics-io/k6-sdk,https://github.com/Matrics-io/k6-sdk,templates/ramp.js,yes,,0,,0,,1,247:26,0,,c,script_157.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/cart-reorder/SAPI15_cart_reorder_50.test.js,yes,,0,,0,,0,,1,30:14,d,script_158.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6445.js,yes,,0,,0,,0,,1,5:12,d,script_159.json
yangahh/concert-ticket-reservation,https://github.com/yangahh/concert-ticket-reservation,docs/k6/index_test_concert_script.js,yes,,0,,0,,0,,1,6:14,d,script_160.json
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/004-working-with-http/http-get-two.js,yes,,0,,1,6:1,0,,0,,b,script_161.json
khulnasoft/kenbench,https://github.com/khulnasoft/kenbench,examples/postgres/single-insert/terraform/k6/load.js,yes,,0,,0,,0,,1,36:14,d,script_162.json
NhanNguyen20/event-planning-management-system,https://github.com/NhanNguyen20/event-planning-management-system,server/K6TestingScript/rate-limit-not-breach-test.js,yes,,0,,0,,0,,1,4:12,d,script_163.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,smoke/user/get_user_username.js,yes,,0,,0,,0,,1,4:14,d,script_164.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/category/S25_category_filter.test.js,yes,,0,,0,,0,,1,23:14,d,script_165.json
horadoqa/scripts-k6,https://github.com/horadoqa/scripts-k6,paralelo/script.js,yes,,0,,0,,0,,1,4:14,d,script_166.json
umbrellerde/functionfusion,https://github.com/umbrellerde/functionfusion,evalScripts/split/generateConfigurations/k6/8.js,yes,,0,,0,,0,,1,5:14,d,script_167.json
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/section3/lifecycle.js,yes,,0,,0,,0,,1,4:14,d,script_168.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/v4/09-testFindCouponByUser_shouldSuccess.js,yes,,0,,0,,0,,1,4:12,d,script_169.json
elistjames/seng533-project,https://github.com/elistjames/seng533-project,lambda_multi.js,yes,,0,,0,,0,,1,4:12,d,script_170.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,smoke/store/get_store_inventory.js,yes,,0,,0,,0,,1,4:14,d,script_171.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,testing_guides/5-spike_testing.js,yes,,0,,0,,0,,1,4:14,d,script_172.json
ArqSoftPractica/223987-235861-184019-back-obli2,https://github.com/ArqSoftPractica/223987-235861-184019-back-obli2,k6/k6-provider-purchases-test-user.js,yes,,0,,0,,0,,1,7:14,d,script_173.json
venuthomas/API_7_Ways,https://github.com/venuthomas/API_7_Ways,K6Testing/GetAllEmployeeK6/GetAllEmployeeCacheCarter.js,yes,,0,,1,9:1,0,,0,,b,script_174.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,testing_guides/2-average_load_testing.js,yes,,0,,0,,0,,1,4:14,d,script_175.json
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/supavisor/single-insert/k6/load.js,yes,,0,,0,,0,,1,36:14,d,script_176.json
venuthomas/API_7_Ways,https://github.com/venuthomas/API_7_Ways,K6Testing/GetAllEmployeeK6/GetAllEmployeeCarter.js,yes,,0,,1,9:1,0,,0,,b,script_177.json
umbrellerde/functionfusion,https://github.com/umbrellerde/functionfusion,evalScripts/splittest/generateConfigurations/k6/7.js,yes,,0,,0,,0,,1,5:14,d,script_178.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,smoke/user/post_user.js,yes,,0,,0,,0,,1,4:14,d,script_179.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find_Filter/mongo_embed.js,yes,,0,,0,,0,,1,9:12,d,script_180.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,smoke/store/delete_store_order_orderId.js,yes,,0,,0,,0,,1,4:14,d,script_181.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6336-vu1.js,yes,,0,,0,,0,,1,10:12,d,script_182.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/order-amendment/SAPI16_order_amendment_50.test.js,yes,,0,,0,,0,,1,40:14,d,script_183.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6440.js,yes,,0,,0,,0,,1,5:12,d,script_184.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,smoke/pet/post_pet_petId.js,yes,,0,,0,,0,,1,4:14,d,script_185.json
rdpanek/k6,https://github.com/rdpanek/k6,demos/features/metrics-gauge-thresholds.js,yes,,0,,1,29:1,0,,0,,b,script_186.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/v2/01-testCouponPolicyDummy_shouldSuccess.js,yes,,0,,0,,0,,1,4:12,d,script_187.json
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/010-test-data/ai/ai-test-data-03.js,yes,,0,,1,22:1,0,,0,,b,script_188.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6338-aws.js,yes,,0,,0,,0,,1,10:12,d,script_189.json
JamesGrant1811/k6-udemy,https://github.com/JamesGrant1811/k6-udemy,lifecycle.js,yes,,0,,0,,0,,1,4:14,d,script_190.json
byounghoon95/concert-ticketing,https://github.com/byounghoon95/concert-ticketing,k6/concert/getAvailableDates.js,yes,,0,,0,,0,,1,4:14,d,script_191.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,user_s1/userBasic_performance.js,yes,,0,,0,,0,,1,8:14,d,script_192.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/__tmp__/v3/01-testCouponPolicyDummy_shouldSuccess.js,yes,,0,,0,,0,,1,4:12,d,script_193.json
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/realtime/filters/loader.js,yes,,0,,0,,0,,1,33:14,d,script_194.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/testing_v1/flow-service/hp-flow-service-flow-vertical-k12.js,yes,,0,,0,,0,,1,5:12,d,script_195.json
horadoqa/scripts-k6,https://github.com/horadoqa/scripts-k6,json/horadoqa/post.js,yes,,0,,0,,0,,1,5:14,d,script_196.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/testing_v1/discovery-service/discovery-program-free-product.js,yes,,0,,0,,0,,1,5:12,d,script_197.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/others/hudai.js,yes,,0,,0,,0,,1,12:12,d,script_198.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,aulas/aula19.js,yes,,0,,1,5:1,0,,0,,b,script_199.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/v2/08-testFindCouponByCode_shouldSuccess.js,yes,,0,,0,,0,,1,4:12,d,script_200.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find/mongo_ref.js,yes,,0,,0,,0,,1,9:12,d,script_201.json
Matrics-io/k6-sdk,https://github.com/Matrics-io/k6-sdk,templates/load.js,yes,,0,,0,,1,101:26,0,,c,script_202.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Violate_Schema/mongo_schema.js,yes,,0,,0,,0,,1,12:12,d,script_203.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/testing_v1/discovery-service/hp-discovry-product-variants.js,yes,,0,,0,,0,,1,5:12,d,script_204.json
khulnasoft/kenbench,https://github.com/khulnasoft/kenbench,examples/realtime/rls/terraform/k6/loader.js,yes,,0,,0,,0,,1,39:14,d,script_205.json
yangahh/concert-ticket-reservation,https://github.com/yangahh/concert-ticket-reservation,docs/k6/index_test_seat_script.js,yes,,0,,0,,0,,1,6:14,d,script_206.json
venuthomas/API_7_Ways,https://github.com/venuthomas/API_7_Ways,K6Testing/GetAllEmployeeK6/GetAllEmployeeController.js,yes,,0,,1,9:1,0,,0,,b,script_207.json
cristianlopera24/PetStore_Performance,https://github.com/cristianlopera24/PetStore_Performance,cases/store/postStoreOrderTest.js,yes,,0,,0,,0,,1,12:12,d,script_208.json
elrison/test-k6,https://github.com/elrison/test-k6,aula1 copy.js,yes,,0,,0,,0,,1,5:14,d,script_209.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find_Projection/mongo_embed_index.js,yes,,0,,0,,0,,1,9:12,d,script_210.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/v3/101-testIssueCoupon_whenHave10QoutaAnd100Request.js,yes,,0,,1,17:1,0,,0,,b,script_211.json
steverzag/result-pattern-exception-handling-demo,https://github.com/steverzag/result-pattern-exception-handling-demo,apitest-v2.create-user.js,yes,,0,,0,,0,,1,4:14,d,script_212.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find_Aggregation_OfferCount/mongo_schema.js,yes,,0,,0,,0,,1,9:12,d,script_213.json
rdpanek/k6,https://github.com/rdpanek/k6,demos/features/metrics-rate-thresholds.js,yes,,0,,1,25:1,0,,0,,b,script_214.json
mussebekabil/messaging-app,https://github.com/mussebekabil/messaging-app,k6-scripts/api-create-message.js,yes,,0,,0,,0,,1,5:14,d,script_215.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,pet_s3/postPetId_compatibility.js,yes,,0,,0,,0,,1,4:12,d,script_216.json
yangahh/concert-ticket-reservation,https://github.com/yangahh/concert-ticket-reservation,docs/k6/get_seats_script_150tps.js,yes,,0,,0,,1,14:19,0,,c,script_217.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,testing_guides/12-parameters.js,yes,,0,,0,,0,,1,9:14,d,script_218.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/testing_v1/k12-course-service/hp-k12-programe-admission.js,yes,,0,,0,,0,,1,5:12,d,script_219.json
Matrics-io/k6-sdk,https://github.com/Matrics-io/k6-sdk,templates/baseline.js,yes,,0,,0,,1,209:26,0,,c,script_220.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/parallel/skill/cart-service-carts.js,yes,,0,,0,,0,,1,5:12,d,script_221.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/__tmp__/v2/09-testFindCouponByUser_shouldSuccess.js,yes,,0,,0,,0,,1,4:12,d,script_222.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,pet_s3/getPetFindByStatus_relibility.js,yes,,0,,0,,0,,1,8:14,d,script_223.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/product-details/SAPI3_product_details_retrieve_information_1.test.js,yes,,0,,0,,0,,1,23:14,d,script_224.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/__tmp__/v3/106-testIssueCoupon_shouldSucces_concurrencyTest-1k.js,yes,,0,,1,27:1,0,,0,,b,script_225.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/v4/03-testIssueCoupon_invalidPeriod.js,yes,,0,,0,,0,,1,4:12,d,script_226.json
adhirajkinlekar/docker-tools,https://github.com/adhirajkinlekar/docker-tools,KIB/k6/load.js,yes,,0,,0,,0,,1,6:12,d,script_227.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/__tmp__/v1/05-testIssueCoupon_shouldSucces.js,yes,,0,,0,,0,,1,4:12,d,script_228.json
JavierSpartan-117/SQA_Semana_9,https://github.com/JavierSpartan-117/SQA_Semana_9,pruebaCarga.js,yes,,0,,0,,0,,1,4:12,d,script_229.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find_Filter/postgres.js,yes,,0,,0,,0,,1,9:12,d,script_230.json
edusoftpro/js-k6,https://github.com/edusoftpro/js-k6,k6-apijs-examples/10metrics/gauges.js,yes,,0,,1,13:1,0,,0,,b,script_231.json
jsvitorm/ponderadasemana9m9,https://github.com/jsvitorm/ponderadasemana9m9,src/carga.js,yes,,0,,0,,0,,1,4:12,d,script_232.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find_Filter_Projection/mongo_ref_index.js,yes,,0,,0,,0,,1,9:12,d,script_233.json
avp365/hl-sn,https://github.com/avp365/hl-sn,.infra/srv/k6/scripts/1r.js,yes,,0,,1,11:1,0,,0,,b,script_234.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,testing_guides/10-check_status.js,yes,,0,,0,,0,,1,4:14,d,script_235.json
f-lab-edu/baller,https://github.com/f-lab-edu/baller,script/k6/script.js,yes,,0,,0,,0,,1,5:12,d,script_236.json
RafaelFerSilva/k6,https://github.com/RafaelFerSilva/k6,curso_k6/modulo3/12 - environment.js,yes,,0,,1,4:1,0,,0,,b,script_237.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/product/S8_product_detail_page.test.js,yes,,0,,0,,0,,1,24:14,d,script_238.json
elrison/test-k6,https://github.com/elrison/test-k6,enviroment.js,yes,,0,,1,5:1,0,,0,,b,script_239.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/testing_v1/k12-course-service/hp-k12-programe-batch_id.js,yes,,0,,0,,0,,1,5:12,d,script_240.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,user_s1/logout_performance.js,yes,,0,,0,,0,,1,8:14,d,script_241.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,pet_s3/postPetId_relibility.js,yes,,0,,0,,0,,1,8:14,d,script_242.json
saksham012345/trek-tribe,https://github.com/saksham012345/trek-tribe,k6/ticket_creation.js,yes,,0,,0,,0,,1,4:12,d,script_243.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/__tmp__/v1/07-testCancelCoupon_shouldSuccess.js,yes,,0,,0,,0,,1,4:12,d,script_244.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/cart/SAPI31_guest_cart_items.test.js,yes,,0,,0,,0,,1,29:14,d,script_245.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/v1/102-testIssueCoupon_whenHave100QoutaAnd1000Request.js,yes,,0,,1,17:1,0,,0,,b,script_246.json
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/004-working-with-http/http-delete-one.js,yes,,0,,1,6:1,0,,0,,b,script_247.json
umbrellerde/functionfusion,https://github.com/umbrellerde/functionfusion,evalScripts/splittest/generateConfigurations/k6/8.js,yes,,0,,0,,0,,1,5:14,d,script_248.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,pet_s3/deletePetId_performance.js,yes,,0,,0,,0,,1,8:14,d,script_249.json
Napat/k6_loadtest,https://github.com/Napat/k6_loadtest,04_check_thresholds/02_thresholds.js,yes,,0,,1,21:1,0,,0,,b,script_250.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/checkout/SAPI7_checkout_1.test.js,yes,,0,,0,,0,,1,26:14,d,script_251.json
Parallels/prl-devops-service,https://github.com/Parallels/prl-devops-service,loadtest/authorization.js,yes,,0,,0,,0,,1,4:14,d,script_252.json
avp365/hl-sn,https://github.com/avp365/hl-sn,.infra/srv/k6/scripts/1000r.js,yes,,0,,1,11:1,0,,0,,b,script_253.json
hari-p8-io/RestVsGrpc,https://github.com/hari-p8-io/RestVsGrpc,k6-rest.js,yes,,0,,0,,0,,1,4:12,d,script_254.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,user_s1/createWithArray_usability.js,yes,,0,,0,,0,,1,4:12,d,script_255.json
byounghoon95/concert-ticketing,https://github.com/byounghoon95/concert-ticketing,k6/concert/getAvailableSeats.js,yes,,0,,0,,0,,1,4:14,d,script_256.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/product-search/SAPI2_product_search_by_sku_1.test.js,yes,,0,,0,,0,,1,24:14,d,script_257.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6455.js,yes,,0,,0,,0,,1,5:12,d,script_258.json
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/002-k6-command-line/ai/ai-run-me-with-sleep.js,yes,,0,,1,7:1,0,,0,,b,script_259.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find_Filter/mongo_embed_index.js,yes,,0,,0,,0,,1,9:12,d,script_260.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6215-vu1.js,yes,,0,,0,,0,,1,5:12,d,script_261.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/testing_v1/notice-service/hp-skill-notice-service-notices-ind-segment.js,yes,,0,,0,,0,,1,5:12,d,script_262.json
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,smoke/user/get_user_logout.js,yes,,0,,0,,0,,1,4:14,d,script_263.json
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/realtime/200k/terraform/k6/loader.js,yes,,0,,0,,0,,1,39:14,d,script_264.json
AbnerSilvaBarbosa/Test_K6,https://github.com/AbnerSilvaBarbosa/Test_K6,8-env.js,yes,,0,,1,6:1,0,,0,,b,script_265.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/order-management/SAPI38_order_history_view_10_70.test.js,yes,,0,,0,,0,,1,34:14,d,script_266.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/testing_v1/skillup-service/hp-skillup-premium-content.js,yes,,0,,0,,0,,1,5:12,d,script_267.json
steverzag/result-pattern-exception-handling-demo,https://github.com/steverzag/result-pattern-exception-handling-demo,apitest-v1.create-user.js,yes,,0,,0,,0,,1,4:14,d,script_268.json
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/section7/insecure-request.js,yes,,0,,1,6:1,0,,0,,b,script_269.json
suryana-code/Performance-Test-With-K6,https://github.com/suryana-code/Performance-Test-With-K6,Test API K6/AUTH/logout.js,yes,,0,,0,,0,,1,7:14,d,script_270.json
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/003-test-options/run-me-without-options.js,yes,,0,,1,6:1,0,,0,,b,script_271.json
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find_Projection_Sort/postgres.js,yes,,0,,0,,0,,1,9:12,d,script_272.json
umbrellerde/functionfusion,https://github.com/umbrellerde/functionfusion,evalScripts/splittest/generateConfigurations/k6/3.js,yes,,0,,0,,0,,1,5:14,d,script_273.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6443-aws.js,yes,,0,,0,,0,,1,5:12,d,script_274.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6240.js,yes,,0,,0,,0,,1,10:12,d,script_275.json
elistjames/seng533-project,https://github.com/elistjames/seng533-project,lambda_single.js,yes,,0,,0,,0,,1,4:12,d,script_276.json
umbrellerde/functionfusion,https://github.com/umbrellerde/functionfusion,evalScripts/split/generateConfigurations/k6/2.js,yes,,0,,0,,0,,1,5:14,d,script_277.json
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/postgres/single-insert/terraform/k6/load.js,yes,,0,,0,,0,,1,36:14,d,script_278.json
ArqSoftPractica/223987-235861-184019-back-obli2,https://github.com/ArqSoftPractica/223987-235861-184019-back-obli2,k6/k6.js,yes,,0,,0,,0,,1,6:14,d,script_279.json
Arch-Frost/Tripify,https://github.com/Arch-Frost/Tripify,server/k6_Testing/authenticate1000.js,yes,,0,,0,,0,,1,4:12,d,script_280.json
Napat/k6_loadtest,https://github.com/Napat/k6_loadtest,13_k6_cloud/script.js,yes,,0,,1,19:1,0,,0,,b,script_281.json
cristianlopera24/PetStore_Performance,https://github.com/cristianlopera24/PetStore_Performance,cases/store/getStoreOrderTest.js,yes,,0,,0,,0,,1,14:12,d,script_282.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6240-test-vu1.js,yes,,0,,0,,0,,1,10:12,d,script_283.json
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/__tmp__/v1/106-testIssueCoupon_shouldSucces_concurrencyTest-1k.js,yes,,0,,1,33:1,0,,0,,b,script_284.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/cart/SAPI32_cart_by_id_70.test.js,yes,,0,,0,,0,,1,25:14,d,script_285.json
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/realtime/rls/terraform/k6/loader.js,yes,,0,,0,,0,,1,39:14,d,script_286.json
edusoftpro/js-k6,https://github.com/edusoftpro/js-k6,examples/02script.js,yes,,0,,0,,0,,1,4:14,d,script_287.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/order-amendment/SAPI20_order_amendment_70.test.js,yes,,0,,0,,0,,1,40:14,d,script_288.json
avp365/hl-sn,https://github.com/avp365/hl-sn,.infra/srv/k6/scripts/100r.js,yes,,0,,1,11:1,0,,0,,b,script_289.json
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/tests/cart/SAPI34_remova_cart_items.test.js,yes,,0,,0,,0,,1,29:14,d,script_290.json
unixisking/perf-benchmark,https://github.com/unixisking/perf-benchmark,k6-node.js,yes,,0,,0,,0,,1,22:14,d,script_291.json
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/others/routine2.js,yes,,0,,0,,0,,1,29:12,d,script_292.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6336-aws.js,yes,,0,,0,,0,,1,10:12,d,script_293.json
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6217-vu1.js,yes,,0,,0,,0,,1,5:12,d,script_294.json
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,user_s1/putUsername_relibility.js,yes,,0,,0,,0,,1,8:14,d,script_295.json
